year_of_info,registration_number,state_medical_council,name,father_or_husband_name,qualification_1,qualification_1_year,university_name,qualification_2,qualification_2_year,email,date_of_birth,date_of_registration,age,experience_years
2012,85437,Andhra Pradesh Medical Council,Leena Thaman,Yashvi Goyal,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2015,rehaanrastogi@example.com,04-07-1981,20-02-2018,44,34
2022,74151,Andhra Pradesh Medical Council,Vedika Roy,Hardik Dalal,MBBS,2002,NTR University of Health Sciences,MS (Ortho),2014,ivyas@example.net,03-02-1985,15-01-2010,40,24
2010,75432,Andhra Pradesh Medical Council,Amrita Ramanathan,Sarthak Ramesh,MBBS,1991,U.Mysore,MD (Pediatrics),2014,diyabedi@example.org,31-10-1993,27-04-2016,32,35
2000,70011,Andhra Pradesh Medical Council,Arjun Gara,Dakshesh Hora,MBBS,1985,U.Mysore,MD (Pediatrics),1995,oscarkrish@example.net,27-05-1998,15-03-2021,27,41
2012,68567,Andhra Pradesh Medical Council,Ikshita Krishna,Amol Pall,MBBS,1992,SVIMS Tirupati,MD (Gen. Med.),2003,lakshchaudhuri@example.org,11-07-1992,07-03-2021,33,34
2019,66270,Andhra Pradesh Medical Council,Widisha Majumdar,Ira Kara,MBBS,2004,NTR University of Health Sciences,MD (Gen. Med.),2010,varughesetripti@example.net,26-09-1970,08-03-1995,55,22
2007,68606,Andhra Pradesh Medical Council,Chanakya Sani,Abhimanyu Iyengar,MBBS,1989,SVIMS Tirupati,MS (Ortho),1998,aarnavnatt@example.org,27-12-1997,14-05-2024,28,37
2012,41653,Andhra Pradesh Medical Council,Anthony Tailor,Benjamin Kumer,MBBS,1992,SVIMS Tirupati,,,bsaini@example.org,04-04-1970,26-09-2011,55,34
2016,58226,Andhra Pradesh Medical Council,Ladli Memon,Indira Datta,MBBS,2000,SVIMS Tirupati,,,owen34@example.net,29-09-1975,07-12-2002,50,26
2018,66731,Andhra Pradesh Medical Council,Tanmayi Baral,Benjamin Cherian,MBBS,1998,NTR University of Health Sciences,,,avi19@example.net,07-08-1978,13-01-2016,47,28
2015,80354,Andhra Pradesh Medical Council,Manya Mohanty,Naveen Mannan,MBBS,1996,SVIMS Tirupati,MD (Pediatrics),2013,qthakur@example.com,29-11-1979,10-12-2014,46,30
2010,72302,Andhra Pradesh Medical Council,Thomas Magar,Andrew Dasgupta,MBBS,1991,U.Mysore,MS (Ortho),2004,manya85@example.org,10-04-1982,29-10-2021,43,35
2005,96374,Andhra Pradesh Medical Council,Ekaja Guha,Ekantika Kunda,MBBS,1987,SVIMS Tirupati,MD (Pediatrics),2021,aroy@example.org,04-10-1998,16-09-2023,27,39
2012,45102,Andhra Pradesh Medical Council,Samarth Hans,Niharika Shankar,MBBS,1996,U.Mysore,MD (Gen. Med.),2005,divyakeer@example.net,29-09-1978,28-11-2014,47,30
2001,61190,Andhra Pradesh Medical Council,Yashica Sarma,Warjas Devan,MBBS,1984,NTR University of Health Sciences,MD (Gen. Med.),1993,emistry@example.net,15-08-1979,03-11-2014,46,42
2014,62761,Andhra Pradesh Medical Council,Neelima Dhillon,Ekiya Luthra,MBBS,1999,NTR University of Health Sciences,MS (Ortho),2006,victorissac@example.org,11-11-1985,09-10-2008,40,27
2002,42656,Andhra Pradesh Medical Council,Riya Muni,Upkaar Sura,MBBS,1983,SVIMS Tirupati,MS (Ortho),1993,lokeagastya@example.net,18-09-1979,06-02-2010,46,43
2020,64114,Andhra Pradesh Medical Council,Aadhya Mukherjee,Charles Kant,MBBS,2002,SVIMS Tirupati,,,xsathe@example.net,26-09-1978,14-05-2017,47,24
2017,54544,Andhra Pradesh Medical Council,Tamanna Jain,Nilima Vig,MBBS,2002,U.Mysore,,,garderadhika@example.net,20-01-1994,10-07-2017,31,24
2000,86068,Andhra Pradesh Medical Council,Chandresh Krish,Siya Tiwari,MBBS,1983,NTR University of Health Sciences,MD (Pediatrics),2001,zayyan44@example.org,20-03-1978,10-09-2003,47,43
2020,64184,Andhra Pradesh Medical Council,Sathvik Tripathi,Max Char,MBBS,2000,U.Mysore,MS (Ortho),2014,charanvasa@example.net,30-04-1983,28-02-2006,42,26
2009,65853,Andhra Pradesh Medical Council,Chaitaly Sachdev,Yatan Salvi,MBBS,1990,NTR University of Health Sciences,MS (Ortho),2010,wazir38@example.com,27-01-1986,12-02-2013,39,36
2018,46308,Andhra Pradesh Medical Council,Rayaan Dewan,Udarsh Varkey,MBBS,2001,SVIMS Tirupati,MS (Ortho),2008,chandani50@example.net,07-12-1984,29-11-2010,41,25
2018,48284,Andhra Pradesh Medical Council,Balveer Chacko,Tripti Bhat,MBBS,2002,SVIMS Tirupati,MD (Pediatrics),2010,jhalaktata@example.org,24-01-1990,27-03-2022,35,24
2004,73917,Andhra Pradesh Medical Council,Avi Ramakrishnan,Idika Pant,MBBS,1985,U.Mysore,,,hariveer@example.com,14-12-1985,13-06-2024,40,41
2022,47672,Andhra Pradesh Medical Council,Isaiah Kaur,Simon Parekh,MBBS,2002,NTR University of Health Sciences,,,muttidarika@example.org,09-07-1992,04-07-2024,33,24
2006,92027,Andhra Pradesh Medical Council,Hritik Lata,Umang D’Alia,MBBS,1991,NTR University of Health Sciences,MS (Ortho),2001,senanusha@example.org,23-02-1978,17-09-2016,47,35
2001,80075,Andhra Pradesh Medical Council,Anthony Aggarwal,Ayushman Merchant,MBBS,1981,NTR University of Health Sciences,MD (Gen. Med.),2021,borratejas@example.net,27-10-1993,25-06-2024,32,45
2012,40063,Andhra Pradesh Medical Council,Aryan Sandhu,Lila Golla,MBBS,1996,SVIMS Tirupati,,,thomaspalla@example.org,22-09-1984,28-12-2011,41,30
2017,78806,Andhra Pradesh Medical Council,Bahadurjit Tata,William Edwin,MBBS,2002,NTR University of Health Sciences,MS (Ortho),2009,henrysekhon@example.com,31-03-1980,25-05-2012,45,24
2013,74893,Andhra Pradesh Medical Council,Xavier Kumar,Watika Karpe,MBBS,1997,SVIMS Tirupati,,,bhatiacharles@example.com,24-11-1987,19-02-2014,38,29
2013,87039,Andhra Pradesh Medical Council,Upasna Goel,Irya Borra,MBBS,1997,NTR University of Health Sciences,MD (Pediatrics),2008,zarna60@example.com,07-03-1997,15-08-2025,28,29
2006,46148,Andhra Pradesh Medical Council,Akshay Babu,Ati Kade,MBBS,1987,SVIMS Tirupati,MS (Ortho),2020,utripathi@example.net,07-09-1989,21-11-2023,36,39
2017,70431,Andhra Pradesh Medical Council,Aarini Shah,Manbir Pal,MBBS,1997,SVIMS Tirupati,,,ikshita21@example.net,09-07-1981,22-05-2013,44,29
2012,47299,Andhra Pradesh Medical Council,Aarnav Dara,Nachiket Solanki,MBBS,1997,NTR University of Health Sciences,MD (Gen. Med.),2004,tram@example.com,05-07-1989,22-04-2020,36,29
2011,70316,Andhra Pradesh Medical Council,Ishwar Singh,Gaurangi Contractor,MBBS,1994,NTR University of Health Sciences,MD (Pediatrics),2006,kashish94@example.org,17-04-1988,30-04-2022,37,32
2019,71729,Andhra Pradesh Medical Council,Wridesh Bains,Jack Biswas,MBBS,1999,SVIMS Tirupati,,,chatreshmukhopadhyay@example.net,09-04-1998,08-09-2025,27,27
2023,74356,Andhra Pradesh Medical Council,Gayathri Chana,Anika Garg,MBBS,2007,SVIMS Tirupati,,,hsagar@example.org,30-12-1979,03-08-2023,46,19
2021,98699,Andhra Pradesh Medical Council,Warjas Kakar,Divya Korpal,MBBS,2004,U.Mysore,MD (Gen. Med.),2012,manan11@example.org,23-02-1994,15-02-2025,31,22
2012,48369,Andhra Pradesh Medical Council,Ekapad Natt,Nitesh Bava,MBBS,1993,U.Mysore,MD (Gen. Med.),2002,wrideshthakur@example.com,23-02-1990,26-06-2017,35,33
2006,79635,Andhra Pradesh Medical Council,Indrajit De,Lakshit Dhar,MBBS,1991,SVIMS Tirupati,MS (Ortho),1997,yochana62@example.org,05-11-1993,18-01-2022,32,35
2013,75493,Andhra Pradesh Medical Council,Azaan Grover,Ikbal Garde,MBBS,1993,U.Mysore,MD (Pediatrics),2007,zehaanbansal@example.org,15-05-1987,13-12-2010,38,33
2017,46645,Andhra Pradesh Medical Council,Rajeshri Comar,Tripti Aurora,MBBS,2002,U.Mysore,,,yanand@example.com,15-06-1975,05-11-2004,50,24
2014,92161,Andhra Pradesh Medical Council,Keya Raman,Bahadurjit Khatri,MBBS,1997,U.Mysore,MD (Gen. Med.),2005,onkar61@example.org,21-12-1987,13-12-2022,38,29
2020,83499,Andhra Pradesh Medical Council,Chaitaly Baral,Kamala Pai,MBBS,2003,SVIMS Tirupati,,,kashyapdayamai@example.org,08-04-1989,20-11-2020,36,23
2006,94695,Andhra Pradesh Medical Council,Chaman Singh,Charan Subramanian,MBBS,1988,SVIMS Tirupati,MD (Gen. Med.),1998,virkbalendra@example.com,19-04-1987,03-05-2015,38,38
2022,93816,Andhra Pradesh Medical Council,Rohan Sarna,Aarini Chaudhuri,MBBS,2002,U.Mysore,,,aditya95@example.org,18-09-1997,19-09-2021,28,24
2007,78770,Andhra Pradesh Medical Council,Yashica Bora,Yochana Dara,MBBS,1987,NTR University of Health Sciences,MD (Pediatrics),2007,diya88@example.com,02-12-1979,13-09-2008,46,39
2023,58180,Andhra Pradesh Medical Council,Nandini Som,Riya Chanda,MBBS,2003,NTR University of Health Sciences,MD (Pediatrics),2013,devanshdugar@example.org,23-09-1970,10-01-2024,55,23
2004,96185,Andhra Pradesh Medical Council,Fariq Khanna,Prisha Yadav,MBBS,1986,NTR University of Health Sciences,MD (Gen. Med.),2018,madantanvi@example.com,14-06-1971,06-05-2021,54,40
2022,43288,Andhra Pradesh Medical Council,Qarin Soni,Tarak Yogi,MBBS,2007,U.Mysore,MD (Pediatrics),2017,daksh79@example.org,28-05-1977,18-07-2021,48,19
2008,79830,Andhra Pradesh Medical Council,Megha Saran,Chatresh Bava,MBBS,1989,SVIMS Tirupati,,,udarshmaster@example.org,12-03-1993,25-03-2024,32,37
2013,71972,Andhra Pradesh Medical Council,Riya Shan,Radha Edwin,MBBS,1994,SVIMS Tirupati,,,nathan32@example.net,02-11-1986,18-12-2014,39,32
2005,78116,Andhra Pradesh Medical Council,Aadi Prabhu,Dhruv Kala,MBBS,1987,SVIMS Tirupati,MS (Ortho),2022,mpanchal@example.org,08-03-1987,16-04-2025,38,39
2014,82562,Andhra Pradesh Medical Council,Yashvi Varghese,Gagan Hegde,MBBS,1999,SVIMS Tirupati,MS (Ortho),2005,shahhemangini@example.net,25-06-1976,30-08-2008,49,27
2002,96121,Andhra Pradesh Medical Council,Hiral Master,Faraj Mukherjee,MBBS,1987,NTR University of Health Sciences,,,chadabina@example.com,17-03-1988,03-04-2024,37,39
2023,47562,Andhra Pradesh Medical Council,Vinaya Gopal,Amruta Guha,MBBS,2007,NTR University of Health Sciences,,,onveer63@example.net,25-12-1994,16-01-2025,31,19
2017,44109,Andhra Pradesh Medical Council,Shaurya Roy,Raksha Sandal,MBBS,2001,NTR University of Health Sciences,MS (Ortho),2011,ikaran@example.org,23-08-1974,17-11-1996,51,25
2019,42033,Andhra Pradesh Medical Council,Kala Sundaram,Kabir Chhabra,MBBS,2000,SVIMS Tirupati,MS (Ortho),2013,karannaksh@example.com,17-05-1991,01-03-2025,34,26
2015,86351,Andhra Pradesh Medical Council,Brijesh Prakash,Radha Soni,MBBS,1999,NTR University of Health Sciences,MS (Ortho),2006,xtank@example.com,27-12-1979,15-07-2015,46,27
2010,50859,Andhra Pradesh Medical Council,Unni Bail,Vidhi Tiwari,MBBS,1994,SVIMS Tirupati,,,ysarin@example.com,10-11-1974,15-02-1999,51,32
2018,40222,Andhra Pradesh Medical Council,Onkar Bandi,Jalsa Chand,MBBS,2000,U.Mysore,MD (Pediatrics),2012,pbhandari@example.com,10-08-1981,26-11-2013,44,26
2011,58271,Andhra Pradesh Medical Council,Reyansh Sharaf,Wahab Singhal,MBBS,1993,U.Mysore,MD (Pediatrics),2001,ijaya95@example.net,17-07-1978,16-10-2002,47,33
2019,50691,Andhra Pradesh Medical Council,Praneel Chad,Kai Singhal,MBBS,1999,SVIMS Tirupati,MS (Ortho),2013,waida09@example.org,25-09-1998,09-01-2024,27,27
2015,80623,Andhra Pradesh Medical Council,Bina Brar,Bimala Pandey,MBBS,1999,NTR University of Health Sciences,MD (Pediatrics),1998,hraju@example.net,03-06-1971,12-02-1999,54,27
2022,82673,Andhra Pradesh Medical Council,Vasudha Pandit,Warinder Samra,MBBS,2006,U.Mysore,,,naiduurmi@example.org,24-08-1982,17-11-2005,43,20
2008,89373,Andhra Pradesh Medical Council,Caleb Bala,Atharv Kashyap,MBBS,1988,U.Mysore,MD (Gen. Med.),2019,esekhon@example.com,30-05-1978,09-08-2022,47,38
2017,88509,Andhra Pradesh Medical Council,Devansh Bera,Lucky Toor,MBBS,1999,U.Mysore,MD (Gen. Med.),2007,samaksh29@example.net,10-07-1978,24-07-2025,47,27
2006,90467,Andhra Pradesh Medical Council,Advay Lala,Raghav Chakraborty,MBBS,1991,U.Mysore,MD (Gen. Med.),1997,parth89@example.com,17-11-1979,01-03-2002,46,35
2011,49719,Andhra Pradesh Medical Council,Siddharth Sen,Pooja Kohli,MBBS,1992,SVIMS Tirupati,,,rborah@example.net,01-05-1991,06-12-2017,34,34
2021,93075,Andhra Pradesh Medical Council,Sai Sehgal,Kala Pall,MBBS,2004,NTR University of Health Sciences,,,divankrishna@example.com,20-12-1991,01-10-2016,34,22
2012,86591,Andhra Pradesh Medical Council,Laksh De,Daniel Oak,MBBS,1996,SVIMS Tirupati,MD (Pediatrics),2018,gkarpe@example.com,02-05-1980,16-05-2021,45,30
2007,55693,Andhra Pradesh Medical Council,Alexander Walla,Harsh Shroff,MBBS,1991,NTR University of Health Sciences,MS (Ortho),2001,dayamai03@example.com,09-05-1978,26-01-2002,47,35
2000,59889,Andhra Pradesh Medical Council,Samuel Tak,Bhavini Walla,MBBS,1982,SVIMS Tirupati,,,lalaanika@example.org,13-05-1976,23-12-2018,49,44
2009,43022,Andhra Pradesh Medical Council,Tristan Sinha,Noah Singhal,MBBS,1991,U.Mysore,MD (Pediatrics),1999,hitesh55@example.net,06-12-1975,22-11-1999,50,35
2022,64941,Andhra Pradesh Medical Council,Neel Sengupta,Vamakshi Samra,MBBS,2006,SVIMS Tirupati,MD (Pediatrics),2016,xgrover@example.com,11-11-1988,30-04-2018,37,20
2015,47755,Andhra Pradesh Medical Council,Vamakshi Bhargava,Balhaar Nath,MBBS,2000,NTR University of Health Sciences,MS (Ortho),2008,nnadig@example.com,13-03-1994,29-01-2023,31,26
2012,85904,Andhra Pradesh Medical Council,Geetika Vora,Jason Varghese,MBBS,1993,SVIMS Tirupati,MD (Gen. Med.),2018,gedwin@example.net,14-07-1980,14-11-2020,45,33
2023,73481,Andhra Pradesh Medical Council,Matthew Chander,Azad Naik,MBBS,2003,NTR University of Health Sciences,MD (Pediatrics),2014,divyabhandari@example.org,30-09-1987,02-09-2016,38,23
2005,48096,Andhra Pradesh Medical Council,Amruta Devan,Yatin Taneja,MBBS,1985,NTR University of Health Sciences,,,ekbalchowdhury@example.org,28-03-1984,29-06-2006,41,41
2005,48600,Andhra Pradesh Medical Council,Forum Gill,Aarini Om,MBBS,1985,NTR University of Health Sciences,MS (Ortho),1997,sundarambhavini@example.org,16-10-1982,22-10-2023,43,41
2005,45298,Andhra Pradesh Medical Council,Pratyush Vyas,Rishi Sengupta,MBBS,1986,SVIMS Tirupati,MD (Gen. Med.),2000,samarthbasu@example.net,17-02-1995,25-07-2019,30,40
2006,67196,Andhra Pradesh Medical Council,Qarin Borde,Tanay Khanna,MBBS,1989,U.Mysore,MD (Gen. Med.),2008,maniishaan@example.org,15-11-1980,12-03-2011,45,37
2019,89500,Andhra Pradesh Medical Council,David Bajaj,Pratyush Saran,MBBS,2003,NTR University of Health Sciences,MD (Pediatrics),2013,yashasvighosh@example.net,23-03-1986,21-01-2017,39,23
2012,96730,Andhra Pradesh Medical Council,Victor Kulkarni,Caleb Sharaf,MBBS,1995,U.Mysore,MD (Gen. Med.),2007,laksh95@example.org,24-10-1999,04-02-2024,26,31
2023,96478,Andhra Pradesh Medical Council,Indrajit Bhatt,Tripti Hari,MBBS,2004,SVIMS Tirupati,MS (Ortho),2013,urvi38@example.com,01-11-1974,09-06-2022,51,22
2019,40329,Andhra Pradesh Medical Council,Harita Chaudhuri,Isha Mannan,MBBS,1999,SVIMS Tirupati,MS (Ortho),2020,hpillai@example.org,17-12-1998,09-08-2021,27,27
2023,75511,Andhra Pradesh Medical Council,Tamanna Chana,Madhav Dass,MBBS,2004,SVIMS Tirupati,MD (Pediatrics),2017,ucchal17@example.com,18-01-1994,29-09-2025,31,22
2022,77699,Andhra Pradesh Medical Council,Dev Parekh,Ranveer Lala,MBBS,2003,NTR University of Health Sciences,MD (Gen. Med.),2018,bkothari@example.com,28-05-1995,23-01-2021,30,23
2006,62718,Andhra Pradesh Medical Council,Lekha Choudhry,Kabir Sood,MBBS,1990,U.Mysore,MD (Gen. Med.),1996,tmishra@example.com,10-12-1998,24-05-2024,27,36
2002,64161,Andhra Pradesh Medical Council,Rushil Kale,Shravya Sem,MBBS,1982,SVIMS Tirupati,MD (Pediatrics),1995,psaran@example.com,02-05-1985,29-01-2018,40,44
2019,54828,Andhra Pradesh Medical Council,Dipta Memon,Samar Rajagopalan,MBBS,2002,U.Mysore,MS (Ortho),2009,uedwin@example.org,31-08-1995,18-04-2020,30,24
2003,45120,Andhra Pradesh Medical Council,Yatan Kurian,Brijesh Kala,MBBS,1986,SVIMS Tirupati,MD (Gen. Med.),1996,nandahardik@example.net,15-11-1972,10-07-2022,53,40
2005,46649,Andhra Pradesh Medical Council,Hemangini Jaggi,Pahal Karpe,MBBS,1989,U.Mysore,MD (Gen. Med.),2010,tkrishnan@example.org,02-01-1986,19-09-2012,40,37
2020,62605,Andhra Pradesh Medical Council,Noah Bal,Tanish Tank,MBBS,2005,NTR University of Health Sciences,MS (Ortho),2013,devibina@example.net,18-05-1991,12-12-2014,34,21
2010,90661,Andhra Pradesh Medical Council,Mahika Bora,Rachit Sheth,MBBS,1992,NTR University of Health Sciences,MD (Pediatrics),2018,zayyanbhatt@example.net,06-11-1991,22-08-2021,34,34
2001,66708,Andhra Pradesh Medical Council,Kamya Sharaf,Isha Sheth,MBBS,1981,SVIMS Tirupati,MS (Ortho),1992,dubevarsha@example.org,23-04-1992,21-03-2023,33,45
2002,72384,Andhra Pradesh Medical Council,Kalpit Bhargava,Yoshita Acharya,MBBS,1986,SVIMS Tirupati,MS (Ortho),2012,jonathanaggarwal@example.com,13-05-1972,14-08-2014,53,40
2017,86825,Andhra Pradesh Medical Council,Owen Patil,Vedika Chaudhuri,MBBS,1998,NTR University of Health Sciences,MD (Gen. Med.),2008,saumyamahal@example.org,19-01-1993,21-09-2019,32,28
2009,94499,Andhra Pradesh Medical Council,Suhani Dara,Rehaan Rajagopalan,MBBS,1990,SVIMS Tirupati,MS (Ortho),2003,shethneel@example.net,01-07-1974,10-01-2006,51,36
2000,53252,Andhra Pradesh Medical Council,Charita Sekhon,Anjali Bala,MBBS,1980,U.Mysore,MD (Gen. Med.),2013,darikasampath@example.com,20-03-1991,17-11-2014,34,46
2002,86334,Andhra Pradesh Medical Council,Hitesh Varma,Ijaya Nagi,MBBS,1983,SVIMS Tirupati,MD (Gen. Med.),1993,deygabriel@example.org,14-03-1983,08-06-2005,42,43
2004,94915,Andhra Pradesh Medical Council,Ekapad Sandhu,Jagat Thaman,MBBS,1989,SVIMS Tirupati,MD (Gen. Med.),2010,faraswason@example.com,13-03-1979,13-11-2011,46,37
2021,68063,Andhra Pradesh Medical Council,Nitara Bahl,Atharv Tailor,MBBS,2001,NTR University of Health Sciences,MS (Ortho),2012,chamelibadami@example.net,02-07-1980,28-12-2002,45,25
2023,40488,Andhra Pradesh Medical Council,Girish Reddy,Jagdish Shere,MBBS,2003,SVIMS Tirupati,MD (Gen. Med.),2022,devanshbala@example.com,21-02-1979,16-10-2025,46,23
2020,81327,Andhra Pradesh Medical Council,Girish Suri,Chakradhar Devan,MBBS,2003,U.Mysore,,,sdevi@example.com,30-03-1990,23-11-2024,35,23
2001,94219,Andhra Pradesh Medical Council,Wazir Anne,Triveni Padmanabhan,MBBS,1986,SVIMS Tirupati,MD (Pediatrics),1992,ghosenidra@example.net,25-12-1992,11-03-2024,33,40
2017,53735,Andhra Pradesh Medical Council,Kashish Varkey,Anay Das,MBBS,1997,NTR University of Health Sciences,MD (Pediatrics),2004,dinganga@example.com,11-04-1978,17-03-2007,47,29
2000,68180,Andhra Pradesh Medical Council,Manan Magar,Shravya Raja,MBBS,1985,SVIMS Tirupati,MS (Ortho),1993,gsundaram@example.org,09-03-1975,19-12-2012,50,41
2007,77591,Andhra Pradesh Medical Council,Alka Nagar,Aishani Lanka,MBBS,1987,NTR University of Health Sciences,,,sainifinn@example.org,14-03-1973,18-07-2025,52,39
2004,52047,Andhra Pradesh Medical Council,Chakradhar Bir,Vedhika More,MBBS,1986,U.Mysore,,,vihaanwali@example.net,01-04-1990,19-04-2025,35,40
2021,67437,Andhra Pradesh Medical Council,Jai Bava,Upasna Sarma,MBBS,2006,SVIMS Tirupati,MD (Gen. Med.),2016,pauvedika@example.net,24-07-1986,30-10-2015,39,20
2010,56118,Andhra Pradesh Medical Council,Tanvi Lanka,Yashica Patla,MBBS,1993,SVIMS Tirupati,MS (Ortho),2021,ykrishnamurthy@example.net,12-10-1975,02-01-2023,50,33
2012,95694,Andhra Pradesh Medical Council,Warda Bava,Ishita Thakkar,MBBS,1992,SVIMS Tirupati,MS (Ortho),2002,suredhitha@example.net,19-02-1976,16-05-2003,49,34
2012,76912,Andhra Pradesh Medical Council,Niharika Chowdhury,Kiaan Gola,MBBS,1992,SVIMS Tirupati,,,gaganbasak@example.com,02-02-1998,23-03-2025,27,34
2021,53115,Andhra Pradesh Medical Council,Reyansh Sidhu,Sanaya Patla,MBBS,2006,U.Mysore,,,daniel84@example.org,18-06-1979,22-02-2014,46,20
2021,68270,Andhra Pradesh Medical Council,Zaitra Dubey,Frado Mani,MBBS,2004,U.Mysore,,,warda57@example.net,21-10-1998,11-12-2022,27,22
